step	global-lle	local-lle	lle-ratio
99	-3.0707459261629687e+01	-3.1433130934323783e+00	+5.5128292336394615e+01
99	-5.1680689349119966e+01	-3.9001197823244826e+00	+9.5561139133590970e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-2.2116444373188719e+02	-2.1332405162527941e+01	+3.9966407713871848e+02
99	-6.6140249275874055e+02	-6.4872300123286550e+01	+1.1930603852709080e+03
99	-6.5210715185471508e+02	-6.3942766032884009e+01	+1.1763287716436621e+03
0	+2.3472531532362479e+00	+2.3472531532362479e+00	+0.0000000000000000e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
0	+1.9068611313612225e+00	+1.9068611313612225e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.5288554196395467e+02	-6.4020605043807976e+01	+1.1777298738402933e+03
54	-1.4248189791081107e+00	+1.5844774949677326e-01	+3.1665334572097681e+00
0	+2.6880463289344245e+00	+2.6880463289344245e+00	+0.0000000000000000e+00
0	+2.6880463289344245e+00	+2.6880463289344245e+00	+0.0000000000000000e+00
0	+2.3472531532367200e+00	+2.3472531532367200e+00	+0.0000000000000000e+00
74	-1.1646511838558986e+00	+1.1670839560243866e+00	+4.6634702797605705e+00
99	-2.2101294886178655e+02	-2.1317255675517874e+01	+3.9939138637253734e+02
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
77	-1.8396926271853027e+00	+6.1189019244312359e-01	+4.9031656392568523e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
99	-8.2660541148269608e+00	-9.3964080116750937e-01	+1.4652826627318904e+01
99	-6.1259402288909939e+02	-5.9991453136322434e+01	+1.1052051395055539e+03
0	+2.6880463288533996e+00	+2.6880463288533996e+00	+0.0000000000000000e+00
0	+2.5786685372441696e+00	+2.5786685372441696e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.2269799371367299e+02	-6.1001850218779808e+01	+1.1233922869897863e+03
99	-5.7662774488538344e+02	-5.6394825335950841e+01	+1.0404658390988652e+03
0	+2.1503686190642339e+00	+2.1503686190642339e+00	+0.0000000000000000e+00
99	-1.0903883073102598e+02	-1.0415590689542061e+01	+1.9724648008296785e+02
99	-6.3607979870990300e+02	-6.2340030718402808e+01	+1.1474795359830005e+03
99	-5.1432855608411842e+02	-5.0164906455824351e+01	+9.2832729925658816e+02
99	-4.3689273464801168e+01	-3.1009781938926007e+00	+8.1176590541817134e+01
99	-4.3335583894841670e+02	-4.2067634742254171e+01	+7.8257640841232501e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-2.7931259653836001e+01	-2.9020561481702130e+00	+5.0058407011331575e+01
0	+2.3472531514424175e+00	+2.3472531514424175e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-3.5824382965992704e+01	-2.3144891440117550e+00	+6.7019787643961905e+01
99	-1.1132210066384626e+02	-1.0643917682824087e+01	+2.0135636596204435e+02
0	+2.6880463289010059e+00	+2.6880463289010059e+00	+0.0000000000000000e+00
0	+7.3514193561332490e+00	+7.3514193561332490e+00	+0.0000000000000000e+00
28	+1.1167580147900935e-01	+7.6769362100246030e-01	+1.3120356390469019e+00
99	-1.2316833606729631e+02	-1.1048884454142117e+01	+2.2423890322630839e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463306809221e+00	+2.6880463306809221e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880462906393756e+00	+2.6880462906393756e+00	+0.0000000000000000e+00
0	+2.6880463289150116e+00	+2.6880463289150116e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-1.6121320581288586e+02	-1.5461412797289952e+01	+2.9150358603119184e+02
99	-6.3917287200978512e+02	-6.2649338048391030e+01	+1.1530470679227883e+03
28	-6.5809797831120465e-01	-2.2787391045627770e-03	+1.3116384784132837e+00
99	-6.3103088880439236e+02	-6.1835139727851740e+01	+1.1383914981530813e+03
99	-6.2653352990628741e+02	-6.1385403838041256e+01	+1.1302962521364923e+03
99	-6.6485502862810552e+02	-6.5217553710223058e+01	+1.1992749498357648e+03
99	-4.8385827594164118e+02	-4.7117878441576615e+01	+8.7348079500012909e+02
0	+2.6880463289136927e+00	+2.6880463289136927e+00	+0.0000000000000000e+00
99	-4.4091729439655870e+02	-4.2823780287068374e+01	+7.9618702821898069e+02
99	-1.5956070807053891e+02	-1.5172031596393106e+01	+2.8877735294829159e+02
0	+2.6880462895001109e+00	+2.6880462895001109e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.7117198900930691e+02	-6.5849249748343198e+01	+1.2106454785219275e+03
99	-5.1832845928695984e+05	-5.1827380943821969e+04	+9.3300215668627573e+05
0	+2.6880463289150116e+00	+2.6880463289150116e+00	+0.0000000000000000e+00
99	-6.3143672793731366e+02	-6.1875723641143878e+01	+1.1391220085923396e+03
0	+2.6880463288972845e+00	+2.6880463288972845e+00	+0.0000000000000000e+00
99	-6.4381148788593816e+02	-6.3113199636006314e+01	+1.1613965764998636e+03
0	+2.1503686190642339e+00	+2.1503686190642339e+00	+0.0000000000000000e+00
0	+2.6880462893322044e+00	+2.6880462893322044e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-2.2840703964275855e+02	-2.1879468672859833e+01	+4.1305514193979741e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-1.6310890388561594e+02	-1.5042941235974082e+01	+2.9613192529928375e+02
0	+7.3514193561332490e+00	+7.3514193561332490e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
0	+2.6880463289344245e+00	+2.6880463289344245e+00	+0.0000000000000000e+00
0	+1.9068611315278727e+00	+1.9068611315278727e+00	+0.0000000000000000e+00
99	-3.3735019799661671e+01	-3.3722079119072230e+00	+6.0725623775508893e+01
0	+2.6880463288976202e+00	+2.6880463288976202e+00	+0.0000000000000000e+00
99	-2.1766854412148780e+02	-2.0982815201487995e+01	+3.9337145783999961e+02
99	-1.8814575527618970e+01	-2.0086897034274278e+00	+3.3611771648383083e+01
99	-6.4862893409198318e+02	-6.3594944256610830e+01	+1.1700679796707448e+03
0	+2.6880463289136927e+00	+2.6880463289136927e+00	+0.0000000000000000e+00
99	-6.4091310129709530e+02	-6.2823360977122036e+01	+1.1561794806399466e+03
0	+1.8475732640873155e+00	+1.8475732640873155e+00	+0.0000000000000000e+00
0	+2.6880463289572711e+00	+2.6880463289572711e+00	+0.0000000000000000e+00
0	+2.6880463288763270e+00	+2.6880463288763270e+00	+0.0000000000000000e+00
0	+2.6880462891311581e+00	+2.6880462891311581e+00	+0.0000000000000000e+00
99	-3.3752982729245826e+02	-3.2791747437829805e+01	+6.0947615970925688e+02
0	+2.4489373719284875e+00	+2.4489373719284875e+00	+0.0000000000000000e+00
0	+2.6880463288972809e+00	+2.6880463288972809e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.2764874323792856e+02	-6.1496925171205362e+01	+1.1323036361334464e+03
0	+2.6880462895005630e+00	+2.6880462895005630e+00	+0.0000000000000000e+00
48	-1.1797617655640469e-02	+1.3448645103270609e+00	+2.7133242559654027e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-8.1687520277841500e+01	-6.9008028751966357e+00	+1.4957343480528974e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-2.3352440451065473e+00	+1.0344247480768618e+00	+6.7393375863668181e+00
99	-3.8705356160911953e+02	-3.7437407008324456e+01	+6.9923230920159017e+02
0	+2.6880462895001109e+00	+2.6880462895001109e+00	+0.0000000000000000e+00
0	+1.2250970077365448e+00	+1.2250970077365448e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-1.4366983305211494e+02	-1.3405748013795472e+01	+2.6052817007663896e+02
9	+4.4285033533942719e-01	+5.4392662645159306e-01	+2.0215258222433174e-01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-2.7715815592749368e+02	-2.6447866440161860e+01	+5.0142057897466361e+02
99	-6.4669944388503006e+02	-6.3401995235915521e+01	+1.1665948972982292e+03
0	+1.7508207397795701e+00	+1.7508207397795701e+00	+0.0000000000000000e+00
99	-2.2520746989549482e+02	-2.1252797836961975e+01	+4.0790934411706570e+02
0	+2.6880463289412755e+00	+2.6880463289412755e+00	+0.0000000000000000e+00
99	-1.2782956857982855e+01	-4.9425647513749860e-01	+2.4577400765690712e+01
99	-5.3979069707077706e+01	-4.1299578181202570e+00	+9.9698223777914905e+01
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
0	+1.8558744774168809e+00	+1.8558744774168809e+00	+0.0000000000000000e+00
0	+1.6902663034665875e+00	+1.6902663034665875e+00	+0.0000000000000000e+00
0	+2.6880463289548469e+00	+2.6880463289548469e+00	+0.0000000000000000e+00
0	+2.1503686181204227e+00	+2.1503686181204227e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880462895340225e+00	+2.6880462895340225e+00	+0.0000000000000000e+00
0	+2.3472531315354961e+00	+2.3472531315354961e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.0124448116618447e+00	+2.0124448116618447e+00	+0.0000000000000000e+00
99	-6.5117905624555328e+02	-6.3849956471967843e+01	+1.1746581995471709e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-1.2669179919122227e+02	-1.2104297447243964e+01	+2.2917500348795662e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
4	+1.4771160887733612e+00	+1.5015726326990073e+00	+4.8913087851292225e-02
99	-6.2873855218284609e+02	-6.1605906065697120e+01	+1.1342652922342979e+03
99	-6.5104052167501413e+02	-6.3836103014913917e+01	+1.1744088373202005e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.7251571382485656e+02	-6.5983622229898160e+01	+1.2130641831899168e+03
0	+2.6880463289378715e+00	+2.6880463289378715e+00	+0.0000000000000000e+00
0	+2.6880462894494555e+00	+2.6880462894494555e+00	+0.0000000000000000e+00
0	+1.9068611314911188e+00	+1.9068611314911188e+00	+0.0000000000000000e+00
0	+2.6880463288533996e+00	+2.6880463288533996e+00	+0.0000000000000000e+00
99	-2.9301441610228270e+01	-3.0102745315346078e+00	+5.2582334157387322e+01
99	-1.7725303163072064e+02	-1.6457354010484551e+01	+3.2159135524047218e+02
0	+2.6577807568631342e+00	+2.6577807568631342e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+1.9068611315271320e+00	+1.9068611315271320e+00	+0.0000000000000000e+00
0	+2.6880463287572200e+00	+2.6880463287572200e+00	+0.0000000000000000e+00
0	+7.3514193561332490e+00	+7.3514193561332490e+00	+0.0000000000000000e+00
0	+1.2525319347896378e+00	+1.2525319347896378e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-5.6882538380829089e+02	-5.5614589228241591e+01	+1.0264215891600986e+03
99	-6.0504392082438414e+02	-5.9236442929850917e+01	+1.0916149557890665e+03
99	-6.0812330021073512e+02	-5.9544380868486023e+01	+1.0971578386844983e+03
0	+1.6902663034532994e+00	+1.6902663034532994e+00	+0.0000000000000000e+00
0	+2.5483897587528865e+00	+2.5483897587528865e+00	+0.0000000000000000e+00
0	+2.6880463315221585e+00	+2.6880463315221585e+00	+0.0000000000000000e+00
0	+2.6880463288763270e+00	+2.6880463288763270e+00	+0.0000000000000000e+00
99	-3.4125091745846092e+01	-2.1445600219970937e+00	+6.3961063447697995e+01
0	+1.2660596487310529e+00	+1.2660596487310529e+00	+0.0000000000000000e+00
0	+2.6880462881811855e+00	+2.6880462881811855e+00	+0.0000000000000000e+00
0	+2.6880463288847096e+00	+2.6880463288847096e+00	+0.0000000000000000e+00
0	+2.6880463289344245e+00	+2.6880463289344245e+00	+0.0000000000000000e+00
0	+2.6880463289572711e+00	+2.6880463289572711e+00	+0.0000000000000000e+00
99	-6.6933511241112490e+02	-6.5665562088524993e+01	+1.2073391006451998e+03
99	-5.9345041859640546e+01	-4.6665550333765395e+00	+1.0935697365252801e+02
0	+2.6880463288477525e+00	+2.6880463288477525e+00	+0.0000000000000000e+00
99	-2.8446986409109677e+01	-1.8834633494949438e+00	+5.3127046119229469e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880462894237471e+00	+2.6880462894237471e+00	+0.0000000000000000e+00
0	+2.6667126011348916e+00	+2.6667126011348916e+00	+0.0000000000000000e+00
99	-1.4037706790981229e+01	-1.4277844842844722e+00	+2.5219844613393512e+01
99	-6.6898492854668888e+01	-5.4219001328793741e+00	+1.2295318544357903e+02
0	+2.0124448116618443e+00	+2.0124448116618443e+00	+0.0000000000000000e+00
0	+1.4217455705181459e+00	+1.4217455705181459e+00	+0.0000000000000000e+00
99	-6.4793000835825194e+02	-6.3525051683237706e+01	+1.1688099133500284e+03
0	+2.6880463288601515e+00	+2.6880463288601515e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880462881811855e+00	+2.6880462881811855e+00	+0.0000000000000000e+00
99	-3.1274156504135692e+02	-3.0312921212719676e+01	+5.6485728765727447e+02
0	+2.6880463289136927e+00	+2.6880463289136927e+00	+0.0000000000000000e+00
0	+2.6880463288639778e+00	+2.6880463288639778e+00	+0.0000000000000000e+00
0	+2.6880462897686930e+00	+2.6880462897686930e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+7.3514193561332490e+00	+7.3514193561332490e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-5.7434215000186123e+02	-5.6166265847598631e+01	+1.0363517683085252e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-1.5876186929385732e+01	-1.4593402259692652e+00	+2.8833693406832932e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-3.8378272436815132e+02	-3.7110323284227633e+01	+6.9334480216784732e+02
0	+1.5913534318016276e+00	+1.5913534318016276e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.4518728471945952e+00	+2.4518728471945952e+00	+0.0000000000000000e+00
0	+2.6880463255544536e+00	+2.6880463255544536e+00	+0.0000000000000000e+00
99	-1.1928625625151623e+01	-4.0882335185437546e-01	+2.3039604546594497e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-3.5077451360841778e+01	-3.0194527525236392e+00	+6.4115997216636273e+01
0	+2.6880462894140096e+00	+2.6880462894140096e+00	+0.0000000000000000e+00
99	-6.0484374180063560e+02	-5.9216425027476070e+01	+1.0912546335463192e+03
99	-6.4679164949753988e+02	-6.3411215797166491e+01	+1.1667608674007467e+03
99	-7.3581795665553003e+01	-6.3969442751392771e+00	+1.3436970278082745e+02
21	-2.7757098468827124e-01	+1.5172041233530176e-01	+8.5858279404714599e-01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463288736047e+00	+2.6880463288736047e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
6	+5.0255875430357067e-01	+5.6507646295088809e-01	+1.2503541729463485e-01
99	-5.8324314112699746e+01	-4.5644822586824603e+00	+1.0751966370803457e+02
0	+2.6880463288847287e+00	+2.6880463288847287e+00	+0.0000000000000000e+00
99	-9.2270480802209988e+01	-8.4430088695602148e+00	+1.6765494386529954e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463316064054e+00	+2.6880463316064054e+00	+0.0000000000000000e+00
99	-1.6253470562665771e+02	-1.5593562778667145e+01	+2.9388228569598112e+02
99	-2.9410324011127226e+01	-3.0344140122213386e+00	+5.2751819997811779e+01
99	-3.0760617767331564e+02	-2.9492668614744058e+01	+5.5622701811714319e+02
99	-3.1995793458950988e+02	-3.0727844306363483e+01	+5.7846018056629282e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-5.3508241931210719e+01	-4.0828750405335583e+00	+9.8850733781354322e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-4.7477028569642107e+02	-4.6209079417054603e+01	+8.5712241255873289e+02
0	+2.6880463287690164e+00	+2.6880463287690164e+00	+0.0000000000000000e+00
99	-2.0615809856579315e+01	-1.7806554435334905e+00	+3.7670308826091649e+01
99	-3.5210496175752816e+01	-2.2531004649877659e+00	+6.5914791421530097e+01
0	+2.6880463289553607e+00	+2.6880463289553607e+00	+0.0000000000000000e+00
99	-5.3002022061644070e+01	-4.3389669147483847e+00	+9.7326110293791373e+01
99	-3.1217164368446106e+02	-3.0255929077030085e+01	+5.6383142921486194e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-4.1322632904098117e+02	-4.0054683751510609e+01	+7.4634329057894115e+02
0	+2.6840551060578526e+00	+2.6840551060578526e+00	+0.0000000000000000e+00
0	+1.8217610333969689e+00	+1.8217610333969689e+00	+0.0000000000000000e+00
0	+2.6880463288936660e+00	+2.6880463288936660e+00	+0.0000000000000000e+00
16	+6.6773935943058804e-01	+9.5306294629279953e-01	+5.7064717372442297e-01
0	+1.9068611315269202e+00	+1.9068611315269202e+00	+0.0000000000000000e+00
99	-1.6830694933253621e+01	-4.1512034073784598e-01	+3.2831149185031549e+01
99	-6.4307828139936487e+02	-6.3039878987348999e+01	+1.1600768048240318e+03
0	+2.6880463288871317e+00	+2.6880463288871317e+00	+0.0000000000000000e+00
0	+2.6880463288847096e+00	+2.6880463288847096e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.2778612337862717e+02	-6.1510663185275227e+01	+1.1325509203867039e+03
0	+1.1690800182939709e+00	+1.1690800182939709e+00	+0.0000000000000000e+00
0	+1.8217610333972920e+00	+1.8217610333972920e+00	+0.0000000000000000e+00
99	-9.2514790990893431e+01	-7.9835299465018306e+00	+1.6906252208878320e+02
99	-5.9920699012364594e+02	-5.8652749859777096e+01	+1.0811084805277376e+03
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
99	-1.2255705668844131e+01	+4.2378585703102850e-02	+2.4596168509094468e+01
0	+2.6880462895340225e+00	+2.6880462895340225e+00	+0.0000000000000000e+00
0	+2.0060295982541976e+00	+2.0060295982541976e+00	+0.0000000000000000e+00
99	-4.1243224866648023e+02	-3.9975275714060523e+01	+7.4491394590483947e+02
99	-7.7458849729398864e+01	-6.4779358203523731e+00	+1.4196182781809298e+02
99	-6.4429155893738425e+02	-6.3161206741150934e+01	+1.1622607043924666e+03
99	-2.6636161419375776e+02	-2.5368212266788269e+01	+4.8198680385393897e+02
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
99	-1.9425655787500980e+02	-1.8157706634913474e+01	+3.5219770248019267e+02
0	+2.3467600361905228e+00	+2.3467600361905228e+00	+0.0000000000000000e+00
0	+2.6880463288639778e+00	+2.6880463288639778e+00	+0.0000000000000000e+00
0	+2.5212855545188759e+00	+2.5212855545188759e+00	+0.0000000000000000e+00
99	-4.7347836590301704e+01	-4.6293405316132192e+00	+8.5436992117376974e+01
0	+1.7508207397795701e+00	+1.7508207397795701e+00	+0.0000000000000000e+00
99	-5.7167680482119728e+01	-4.4488188956244592e+00	+1.0543772317299053e+02
99	-6.3346995000999664e+02	-6.2079045848412157e+01	+1.1427818083231689e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+1.9068611315280977e+00	+1.9068611315280977e+00	+0.0000000000000000e+00
99	-2.3400255808670245e+01	-1.3787902894510000e+00	+4.4042931038438489e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463288193130e+00	+2.6880463288193130e+00	+0.0000000000000000e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
